gen,attempt_add,exec_add,attempt_del,exec_del,attempt_mod,exec_mod,attempt_mode,exec_mode,attempt_total,exec_total,attempt_share_add,attempt_share_del,attempt_share_mod,attempt_share_mode,exec_share_add,exec_share_del,exec_share_mod,exec_share_mode,success_rate,success_add,success_del,success_mod,success_mode
21,4,3,2,2,9,3,4,0,19,8,0.21052631578947367,0.10526315789473684,0.47368421052631576,0.21052631578947367,0.375,0.25,0.375,0.0,0.42105263157894735,0.75,1.0,0.3333333333333333,0.0
22,6,4,1,1,11,6,1,0,19,11,0.3157894736842105,0.05263157894736842,0.5789473684210527,0.05263157894736842,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.0,0.5789473684210527,0.6666666666666666,1.0,0.5454545454545454,0.0
23,4,4,1,1,5,1,3,0,13,6,0.3076923076923077,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.46153846153846156,1.0,1.0,0.2,0.0
24,4,3,0,0,6,2,7,0,17,5,0.23529411764705882,0.0,0.35294117647058826,0.4117647058823529,0.6,0.0,0.4,0.0,0.29411764705882354,0.75,0.0,0.3333333333333333,0.0
25,4,3,2,2,7,2,7,0,20,7,0.2,0.1,0.35,0.35,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.35,0.75,1.0,0.2857142857142857,0.0
26,4,4,2,2,9,3,6,0,21,9,0.19047619047619047,0.09523809523809523,0.42857142857142855,0.2857142857142857,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,0.42857142857142855,1.0,1.0,0.3333333333333333,0.0
27,9,8,1,1,6,1,4,0,20,10,0.45,0.05,0.3,0.2,0.8,0.1,0.1,0.0,0.5,0.8888888888888888,1.0,0.16666666666666666,0.0
28,6,4,1,1,12,4,4,0,23,9,0.2608695652173913,0.043478260869565216,0.5217391304347826,0.17391304347826086,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,0.391304347826087,0.6666666666666666,1.0,0.3333333333333333,0.0
29,6,4,1,1,7,2,4,0,18,7,0.3333333333333333,0.05555555555555555,0.3888888888888889,0.2222222222222222,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.3888888888888889,0.6666666666666666,1.0,0.2857142857142857,0.0
30,8,6,1,1,7,1,7,0,23,8,0.34782608695652173,0.043478260869565216,0.30434782608695654,0.30434782608695654,0.75,0.125,0.125,0.0,0.34782608695652173,0.75,1.0,0.14285714285714285,0.0
31,5,5,1,1,4,2,4,0,14,8,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.625,0.125,0.25,0.0,0.5714285714285714,1.0,1.0,0.5,0.0
32,4,3,2,2,5,2,5,0,16,7,0.25,0.125,0.3125,0.3125,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.4375,0.75,1.0,0.4,0.0
